,Year,Province,Criterion,ER_Utility,Belief_Entropy
482,2018,P61,C03,0.4279,1.0427
483,2018,P61,C04,0.5619,1.0293
484,2018,P61,C05,0.5203,0.7672
485,2018,P61,C06,0.4819,0.7704
486,2018,P61,C07,0.5049,1.1287
487,2018,P61,C08,0.3352,0.6413
488,2018,P62,C01,0.3251,0.7294
489,2018,P62,C02,0.2453,0.9958
490,2018,P62,C03,0.4336,1.0374
491,2018,P62,C04,0.3663,1.0181
492,2018,P62,C05,0.5128,0.6705
493,2018,P62,C06,0.6034,1.0393
494,2018,P62,C07,0.4115,1.0292
495,2018,P62,C08,0.4326,1.0384
496,2018,P63,C01,0.5267,0.8353
497,2018,P63,C02,0.4814,0.8324
498,2018,P63,C03,0.5547,1.0095
499,2018,P63,C04,0.5334,0.8983
500,2018,P63,C05,0.6129,0.9465
501,2018,P63,C06,0.3554,0.8265
502,2018,P63,C07,0.5081,1.2289
503,2018,P63,C08,0.5239,0.8072
504,2019,P01,C01,0.5129,0.6685
505,2019,P01,C02,0.3325,0.9365
506,2019,P01,C03,0.3317,0.5808
507,2019,P01,C04,0.3237,0.7219
508,2019,P01,C05,0.4101,1.0283
509,2019,P01,C06,0.4020,1.0078
510,2019,P01,C07,0.2103,0.8169
511,2019,P01,C08,0.5282,0.8495
512,2019,P02,C01,0.6009,0.9988
513,2019,P02,C02,0.5870,1.1532
514,2019,P02,C03,0.4194,1.0421
515,2019,P02,C04,0.2131,0.8299
516,2019,P02,C05,0.5436,1.0389
517,2019,P02,C06,0.4215,1.0435
518,2019,P02,C07,0.4487,1.0319
519,2019,P02,C08,0.4922,1.0462
520,2019,P03,C01,0.4553,0.9664
521,2019,P03,C02,0.5619,1.0293
522,2019,P03,C03,0.6429,0.7405
523,2019,P03,C04,0.3645,0.8057
524,2019,P03,C05,0.4870,0.7181
525,2019,P03,C06,0.2412,0.9809
526,2019,P03,C07,0.6427,1.0098
527,2019,P03,C08,0.6706,0.7064
528,2019,P04,C01,0.6065,0.9763
529,2019,P04,C02,0.5526,1.0020
530,2019,P04,C03,0.4889,0.7463
531,2019,P04,C04,0.4320,1.0393
532,2019,P04,C05,0.5549,1.0102
533,2019,P04,C06,0.5433,0.9586
534,2019,P04,C07,0.4940,0.9608
535,2019,P04,C08,0.4767,0.8937
536,2019,P05,C01,0.6104,0.9592
537,2019,P05,C02,0.5857,1.0365
538,2019,P05,C03,0.5585,1.0209
539,2019,P05,C04,0.3874,0.9477
540,2019,P05,C05,0.5675,1.0387
541,2019,P05,C06,0.5024,0.6580
542,2019,P05,C07,0.3292,0.6856
543,2019,P05,C08,0.4173,1.1795
544,2019,P06,C01,0.6273,0.8559
545,2019,P06,C02,0.5276,0.9484
546,2019,P06,C03,0.5391,0.9336
547,2019,P06,C04,0.4911,0.6364
548,2019,P06,C05,0.6654,0.8130
549,2019,P06,C06,0.5297,0.8621
550,2019,P06,C07,0.4340,1.0364
551,2019,P06,C08,0.7585,0.9825
552,2019,P07,C01,0.5050,0.5278
553,2019,P07,C02,0.6037,1.0311
554,2019,P07,C03,0.4782,0.7836
555,2019,P07,C04,0.4308,1.0407
556,2019,P07,C05,0.2866,1.0290
557,2019,P07,C06,0.3555,0.7055
558,2019,P07,C07,0.5692,1.1199
559,2019,P07,C08,0.5080,0.6802
560,2019,P08,C01,0.3978,0.9942
561,2019,P08,C02,0.3699,0.9146
562,2019,P08,C03,0.2930,1.0099
563,2019,P08,C04,0.3020,0.9674
564,2019,P08,C05,0.6308,0.9085
565,2019,P08,C06,0.3415,0.7835
566,2019,P08,C07,0.4430,1.0170
567,2019,P08,C08,0.5811,1.0420
568,2019,P09,C01,0.5662,1.0369
569,2019,P09,C02,0.6425,0.9793
570,2019,P09,C03,0.6795,0.7932
571,2019,P09,C04,0.5254,0.8225
572,2019,P09,C05,0.5698,1.0413
573,2019,P09,C06,0.4955,0.8782
574,2019,P09,C07,0.4864,1.0299
575,2019,P09,C08,0.6001,1.0012
576,2019,P10,C01,0.4298,1.0416
577,2019,P10,C02,0.6161,1.0543
578,2019,P10,C03,0.4744,0.9345
579,2019,P10,C04,0.2657,1.0393
580,2019,P10,C05,0.6644,0.6746
581,2019,P10,C06,0.5518,0.9990
582,2019,P10,C07,0.3410,0.7545
583,2019,P10,C08,0.4707,1.0101
584,2019,P11,C01,0.7253,1.0434
585,2019,P11,C02,0.6622,0.7892
586,2019,P11,C03,0.7366,1.0380
587,2019,P11,C04,0.3123,0.8868
588,2019,P11,C05,0.4957,0.6334
589,2019,P11,C06,0.4496,0.9932
590,2019,P11,C07,0.2591,1.0313
591,2019,P11,C08,0.7108,1.0217
592,2019,P12,C01,0.5341,0.8986
593,2019,P12,C02,0.6717,0.9007
594,2019,P12,C03,0.5305,0.8699
595,2019,P12,C04,0.3588,0.7672
596,2019,P12,C05,0.5227,0.8898
597,2019,P12,C06,0.2905,1.0186
598,2019,P12,C07,0.1691,0.4236
599,2019,P12,C08,0.6829,0.9634
600,2019,P13,C01,0.5171,0.7421
601,2019,P13,C02,0.5432,1.0800
602,2019,P13,C03,0.3394,0.6824
603,2019,P13,C04,0.5178,0.8035
604,2019,P13,C05,0.6402,0.8067
605,2019,P13,C06,0.3824,1.0595
606,2019,P13,C07,0.4800,0.8846
607,2019,P13,C08,0.6381,0.7832
608,2019,P14,C01,0.6925,0.9271
609,2019,P14,C02,0.8326,0.3913
610,2019,P14,C03,0.4993,0.6444
611,2019,P14,C04,0.7151,1.0327
612,2019,P14,C05,0.4635,1.0419
613,2019,P14,C06,0.7231,1.0426
614,2019,P14,C07,0.7673,0.9409
615,2019,P14,C08,0.3306,0.8153
616,2019,P15,C01,0.7003,0.9788
617,2019,P15,C02,0.6679,0.8246
618,2019,P15,C03,0.5076,0.7152
619,2019,P15,C04,0.5586,1.0212
620,2019,P15,C05,0.7118,1.0242
621,2019,P15,C06,0.6107,0.9574
622,2019,P15,C07,0.4798,0.9855
623,2019,P15,C08,0.6202,0.9050
624,2019,P16,C01,0.4940,0.5562
625,2019,P16,C02,0.5128,0.8934
626,2019,P16,C03,0.6374,0.8000
627,2019,P16,C04,0.4942,0.6798
628,2019,P16,C05,0.8224,0.5337
629,2019,P16,C06,0.3868,0.9442
630,2019,P16,C07,0.3394,0.7619
631,2019,P16,C08,0.3558,0.9261
632,2019,P17,C01,0.6743,0.7443
633,2019,P17,C02,0.4589,1.0356
634,2019,P17,C03,0.4870,0.6897
635,2019,P17,C04,0.5136,0.6916
636,2019,P17,C05,0.5992,1.0035
637,2019,P17,C06,0.3554,0.7038
638,2019,P17,C07,0.3707,0.8397
639,2019,P17,C08,0.6949,0.9458
640,2019,P18,C01,0.5708,1.0422
641,2019,P18,C02,0.4982,0.7923
642,2019,P18,C03,0.5224,0.7906
643,2019,P18,C04,0.3116,0.8879
644,2019,P18,C05,0.4312,1.0403
645,2019,P18,C06,0.5788,1.0433
646,2019,P18,C07,0.2322,0.9407
647,2019,P18,C08,0.3420,0.8857
648,2019,P19,C01,0.6841,0.8429
649,2019,P19,C02,0.5681,1.0390
